Sno,Dialogue,Font
image0,.,20
image1,Anillos fijos de conexión de conexión asegurada,20
image2,El doctor Finch elige la llamada y una voz generada por IA le da un número de doce dígitos que él señala en un documento,20
image3,También da fecha y hora.Y luego se desconecta abruptamente.,20
image4,"Finch alcanza su escondite, con una sensación de confusión sobre lo que significa el número de doce dígitos.",20
image5,"Finch pega el número de su tabla, donde hay varios otros números de doce dígitos con fechas pasadas.",20
image6,Finch está perplejo y piensa cómo decodificar lo que significa el número.,20
image7,"Ejecuta varios algorthims complejos, como la coincidencia de patrones, pero no puede resolver decodificar el número de doce dígitos.",20
image8,"Flashback: Finch es el principal científico de Project Eyes, donde está designado para construir una máquina.",20
image9,"Con toda su experiencia, construye un algoritmo complejo para detectar los ataques terroristas a nivel mundial con la ayuda de la tecnología de IA para evitar el futuro.",20
image10,!,20
image11,Finch llama a las autoridades gubernamentales a informar sobre la máquina,20
image12,"Ethan Hunt, la principal defensa del gobierno del gobierno de los Estados Unidos felicita al Dr. Finch por construir con éxito los ojos del proyecto.",20
image13,"Dr. Finch: Oficial Hunt, pero encontré un problema con el resultado de la máquina.",20
image14,"Dr. Finch: Si puede ver este resultado, la IA fue construida principalmente para evitar ataques terroristas, pero comienza a identificar la violencia entre la gente común.",20
image15,Ethan: El único propósito de la IA es satisfacer las necesidades del gobierno no las de cada individuo.No podemos detener cada violencia y esa no es nuestra preocupación.,20
image16,"Ethan: Marque esos datos como ""irrelevantes""
Dr. Finch: Pero estamos decepcionando a las personas que tienen todo el derecho de acceder a esta tecnología.",20
image17,"Dr. Finch: Por favor, déjame ayudar a detener estos eventos violentos
Ethan: Lo siento Finch, esa no es tu decisión de tomar.Nuestro contrato termina aquí.",20
image18,Dr. Finch: Esto no es justo.Por favor no te vayas,20
image19,El Dr. Finch está decepcionado con la decisión de Ethan.,20
image20,Ethan llama a su PA y horarios para eliminar el acceso de IA a los científicos y moverlo a un lugar seguro.,20
image21,El Dr. Finch diseña un código de puerta trasera para acceder a los llamados datos irrelevantes,20
image22,El código de la puerta trasera se genera con éxito después de una serie de intentos,20
image23,!,20
image24,La IA elige la forma más segura de contactar al Dr. Finch es a través de un teléfono público que reconoce la ubicación del Dr. Finch accediendo a las cámaras públicas,20
image25,Dr. Finch recibe el mensaje para seguir a Michael King,20
image26,"El Dr. Finch busca la base de datos y encuentra a Michael King, que es un fantasma del radar del gobierno",20
image27,Dr. Finch sigue a King,20
image28,King descubre que está siendo seguido y atrapa al Dr. Finch para averiguar la razón,20
image29,King lleva al Dr. Finch a un Blacksite ex de la CIA y lo encierra,20
image30,El rey amenaza al Dr. Finch para derramar la verdad,20
image31,"King: ¿A qué agencia pertenece y cuánto le pagaron?Dr. Finch: Tómatelo con calma, puedo explicarte.Echa un vistazo a mi identificación.",20
image32,!,20
image33,Dr. Finch: Todos deben tener ojos de proyecto conocidos como un concepto teórico.Pero existe y yo soy quien lo construyó.,20
image34,Dr. Finch: Pero ahora el gobierno ha tomado el control de ello y me quedo sin idea.,20
image35,Dr. Finch: CIA me invitó a dirigir una de las misiones más secretas de la historia de los Estados Unidos.,20
image36,"Dr. Finch: Trabajamos en el Área 53, al que no se puede acceder incluso a oficiales militares como usted.",20
image37,Dr. Finch: Nuestro objetivo era construir una sofisticada máquina de inteligencia artificial que pueda ver los ataques terroristas mundiales antes de que pudieran suceder.,20
image38,Dr. Finch: Aprovechamos la tecnología moderna para acceder a todo lo que está conectado a Internet.,20
image39,Dr. Finch: Hemos construido un Super Ai que evoluciona por sí solo en función de las decisiones que toman y su resultado.Pero el gobierno decidió no usarlo para salvar a People común,20
image40,"Dr. Finch: Pero tenía otras opiniones.Por lo tanto, fingí mi muerte y fui encubierto.",20
image41,Dr. Finch junto con King llega al laboratorio oculto de Finch,20
image42,"Dr. Finch: Como puede ver aquí, la máquina me da un número aleatorio de 12 dígitos.",20
image43,"King: Eso está bien, ¿qué quieres de mí?",20
image44,Dr. Finch: Incluso no sé que la IA mencionó su nombre como parte de un plan de contingencia.Y me pide que te siga.,20
image45,"King: Estos son el número de seguridad social de las personas, la fecha y la hora del crimen",20
image46,King: Puedo adivinar por qué la IA me elige.,20
image47,King: Fue asesinada dos semanas antes y la IA tenía razón predecirlo.Dr. Finch: Podrías haberla guardado si tuvieras esta información antes.,20
image48,Dr. Finch: Ahora puedo darle la oportunidad de salvar otras vidas.Rey: ¡Cuente conmigo!,20
image49,Dr. Finch: La IA ha dado el número recientemente y tenemos que encontrar si él es la víctima o el perputador,20
image50,King: ¿Entonces quién es esta persona?,20
image51,Dr. Finch: He identificado a la persona como Raymond y tenemos que comenzar a seguirlo.King: ¿Cómo haces esto?,20
image52,Dr. Finch: La IA que construí ve y escucha todo a través de cámaras y micrófonos.,20
image53,Dr. Finch: rastrea a las personas que usan el reconocimiento facial a través de la cámara de la calle y los feeds personales de teléfonos móviles.,20
image54,Finch y King deciden seguir a Raymond.,20
image55,Rastrean las actividades de Raymond y llegan a su ubicación.,20
image56,"Mientras tanto, Raymond se encuentra con una persona desconocida para obtener la tarea sobre lo que tiene que hacer.",20
image57,Vieron a Raymond y se acercaron a él.,20
image58,Deciden colocar casualmente a Raymond para reunir más Intel en su lugar.,20
image59,Perden la noción de él y King siente que algo grande va a suceder.,20
image60,Finch bugó el teléfono de Raymonds y se activa el error para rastrearlo.,20
image61,Raymond ingresa a un edificio gubernamental altamente seguro a través de una puerta trasera.,20
image62,La IA da el lugar de Raymond y exige considerarlo como de alta prioridad.,20
image63,Finch y King falsifican sus huellas digitales y sigue a Raymond.,20
image64,Raymond ingresa a un edificio gubernamental altamente seguro.,20
image65,"Dr. Finch: King va a haber un problema, reconozco este lugar.",20
image66,Dr. Finch: Aquí es donde la IA está protegida y Raymond está tratando de acceder a ella.,20
image67,Rey: Entremos para ver lo que hace,20
image68,Dr. Finch: Él es el perputador.Intenta matar a la IA.,20
image69,Raymond se emociona con el descubrimiento de la máquina.,20
image70,Raymond intenta acceder al puerto maestro para alterar el esquema neural básico de la IA.,20
image71,El nuevo esquema neural se está cargando.,20
image72,Raymond comienza a inyectar el código malicioso.,20
image73,Finch y King lo agarran con la mano roja y detienen la carga del esquema neuronal.,20
image74,King lleva a Raymond a punta de pistola y lo extrae a una balcksita con Finch.,20
image75,King: ¿Dime por qué quieres matar a la máquina?Raymond: No estoy tratando de matar a la máquina.¡Tengo un panorama general!,20
image76,"King: No actúes de manera inteligente.Revela los grandes nombres detrás de esto o tu die.Raymond: Espera, te daré los nombres.",20
image77,Raymond: Es Ethan Hunt y Adams.Quieren que inyecte un código para que la IA pueda usarse para ahorrar pocos multimillonarios.Están planeando monitorear la IA.,20
image78,"Dr. Finch: Los conozco.No quieren que sus nombres hagan esto y, por lo tanto, envíen a Raymond.",20
image79,Dr. Finch: ¡Son oficiales inteligentes de grado A que trabajan en el nivel superior del gobierno de los Estados Unidos!,20
image80,"Dr. Finch: Esta es la oficina, pero ni siquiera podemos ir a la vista.",20
image81,Ubicación: Firadores del gobierno - Washington DC,20
image82,Adam está frustrado cuando obtiene un poco sobre el código de puerta trasera de Finch,20
image83,Ethan programa una cita para reunirse con Adams,20
image84,"Ethan: ¿Puedo entrar?Adams: Sí, por favor.",20
image85,Ethan: Ethan Hunt informando de servicio!,20
image86,"Ethan: Señor, aquí está el informe de éxito sobre qué tan bien está funcionando la máquina AI",20
image87,Adam lee el informe y considera que no hay información sobre el código de puerta trasera,20
image88,Adam (enojado): el informe está lleno de s *** como tú,20
image89,"Adam: Mira esto, hay un gran agujero que dejaste sin ser notado",20
image90,"Ethan: Intentamos solucionar este código, pero alguien lo está anulando.Adam: Sé quién es.¡Es el Dr. Finch!",20
image91,"Ethan: Pero señor, él está muerto según nuestros registros.Adam: No, él no, lo quiero muerto de verdad esta vez.",20
image92,Adam se siente presionado cuando la fecha límite prometida para proporcionar el acceso a la IA para el multimillonario se está acercando,20
image93,"Ethan: Tenemos que capturar al científico y sus recursos, sin dejar nada atrás.",20
image94,"Ethan: Encontrarás esta configuración en su laboratorio.Destruirlo, debe ser accesible para cualquier otra persona.",20
image95,Ethan captura al Dr. Finch,20
image96,"Dr. Finch: No hagas esto, estás cometiendo un poco de error.Ethan: ¡Este es el final de todo!",20
image97,La IA no puede ver el movimiento Dr. Finch y activa el plan de contingencia.,20
image98,Michael King ahora recibe una llamada ya que él es el plan de contingencia.,20
image99,King recibe el número de Dr. Finch y lo busca.,20
image100,King no tiene idea de en qué peligro se ha metido el Dr. Finch,20
image101,King descubre dónde se mantiene el Dr. Finch en custodia,20
image102,El estafador - King lucha contra los guardias y rescata al Dr. Finch,20
image103,Ambos se mudan a un lugar público para discutir sobre qué hacer a continuación,20
image104,Dr. Finch: King Gracias por toda su ayuda.Voy a poner fin por lo que he creado.,20
image105,"Dr. Finch: La máquina debe destruirse de inmediato, de lo contrario podría terminar en las manos equivocadas o el AI ITESLF tomará el control sobre humanos como Skynet.",20
image106,King: Pero podemos ahorrar a muchas personas con la información que nos brinda la máquina.¿Quieres decepcionar a todas las personas que pueden ser salvadas?,20
image107,Dr. Finch: No conoces el poder de la IA.Es capaz de cualquier cosa.,20
image108,"King: Pero tú eres el creador de ello, puedes controlarlo.",20
image109,"Finch: Probablemente, pero una máquina es solo una máquina.Incluso ordena matarme a mí y a ti si encuentra que estamos listos para comprenderlo.Así es como se programó.",20
image110,**** Ahora depende de la audiencia decidir si matar a la IA o usarla para un mayor propósito ****,20
